Chain-number-run;Blocks;Total;TotalSelfish;TotalHonest;UncleSelfish;UncleHonest;NephewSelfish;NephewHonest;MinedSelf;MinedHonest;absSelfRev;absHonestRev
chain-1-1_selfPow-50_dyn-true;100001;209370.750000;9610.944444;199759.805556;8582.000000;451.750000;0.944444;336.055556;1028.000000;198972.000000;0.048055;0.998799
chain-1-1_selfPow-50_dyn-false;100001;206581.388889;6906.500000;199674.888889;5905.000000;330.000000;1.500000;344.888889;1000.000000;199000.000000;0.034533;0.998374
chain-2-1_selfPow-100_dyn-true;100001;218229.416667;20103.055556;198126.361111;15811.500000;1757.750000;9.555556;650.611111;4282.000000;195718.000000;0.100515;0.990632
chain-2-1_selfPow-100_dyn-false;100002;212953.055556;15433.777778;197519.277778;10837.000000;1432.000000;10.777778;671.277778;4586.000000;195416.000000;0.077168;0.987587
chain-3-1_selfPow-150_dyn-true;100001;226331.500000;32111.638889;194219.861111;21270.250000;4098.250000;33.388889;929.611111;10808.000000;189192.000000;0.160558;0.971099
chain-3-1_selfPow-150_dyn-false;100001;218381.222222;25812.333333;192568.888889;14231.000000;3182.000000;35.333333;932.888889;11546.000000;188454.000000;0.129062;0.962844
chain-4-1_selfPow-200_dyn-true;100001;232705.444444;44924.111111;187781.333333;24363.000000;7133.000000;73.111111;1136.333333;20488.000000;179512.000000;0.224621;0.938907
chain-4-1_selfPow-200_dyn-false;100001;222943.000000;38011.111111;184931.888889;16297.000000;5436.000000;74.111111;1135.888889;21640.000000;178360.000000;0.190056;0.924659
chain-5-1_selfPow-250_dyn-true;100001;237127.583333;60203.666667;176923.916667;24875.000000;10859.250000;130.666667;1262.666667;35198.000000;164802.000000;0.301018;0.884620
chain-5-1_selfPow-250_dyn-false;100001;226480.277778;51914.777778;174565.500000;17112.000000;7970.000000;132.777778;1265.500000;34670.000000;165330.000000;0.259574;0.872828
chain-6-1_selfPow-300_dyn-true;100001;239122.861111;75431.416667;163691.444444;23496.750000;14137.000000;198.666667;1290.444444;51736.000000;148264.000000;0.377157;0.818457
chain-6-1_selfPow-300_dyn-false;100002;228208.222222;68139.888889;160068.333333;16087.000000;10629.000000;202.888889;1287.333333;51850.000000;148152.000000;0.340696;0.800334
chain-7-1_selfPow-350_dyn-true;100001;238078.805556;92605.222222;145473.583333;19881.500000;16727.750000;255.722222;1213.833333;72468.000000;127532.000000;0.463026;0.727368
chain-7-1_selfPow-350_dyn-false;100001;227879.277778;85535.833333;142343.444444;13874.000000;12531.000000;261.833333;1212.444444;71400.000000;128600.000000;0.427679;0.711717
chain-8-1_selfPow-400_dyn-true;100001;233974.305556;109491.888889;124482.416667;15367.500000;17283.250000;282.388889;1041.166667;93842.000000;106158.000000;0.547459;0.622412
chain-8-1_selfPow-400_dyn-false;100001;224694.666667;105795.000000;118899.666667;10476.000000;12911.000000;279.000000;1028.666667;95040.000000;104960.000000;0.528975;0.594498
chain-9-1_selfPow-450_dyn-true;100001;222863.944444;130210.694444;92653.250000;8741.750000;13224.250000;230.944444;667.000000;121238.000000;78762.000000;0.651053;0.463266
chain-9-1_selfPow-450_dyn-false;100001;217739.555556;127283.555556;90456.000000;6247.000000;10554.000000;240.555556;698.000000;120796.000000;79204.000000;0.636418;0.452280
