Chain-number-run;Blocks;Total;TotalSelfish;TotalHonest;UncleSelfish;UncleHonest;NephewSelfish;NephewHonest;MinedSelf;MinedHonest;absSelfRev;absHonestRev
chain-1-1_selfPow-50_dyn-true;25001;52408.916667;2469.250000;49939.666667;2206.750000;115.500000;0.500000;86.166667;262.000000;49738.000000;0.049385;0.998793
chain-1-1_selfPow-50_dyn-false;25002;51613.833333;1691.222222;49922.611111;1455.000000;72.000000;0.222222;84.611111;236.000000;49766.000000;0.033823;0.998412
chain-2-1_selfPow-100_dyn-true;25001;54674.194444;5106.888889;49567.305556;4087.000000;418.250000;1.888889;167.055556;1018.000000;48982.000000;0.102138;0.991346
chain-2-1_selfPow-100_dyn-false;25001;53184.611111;3744.833333;49439.777778;2678.000000;339.000000;2.833333;164.777778;1064.000000;48936.000000;0.074897;0.988796
chain-3-1_selfPow-150_dyn-true;25001;56601.666667;8021.972222;48579.694444;5305.750000;1054.750000;8.222222;232.944444;2708.000000;47292.000000;0.160439;0.971594
chain-3-1_selfPow-150_dyn-false;25001;54562.277778;6444.000000;48118.277778;3547.000000;775.000000;7.000000;233.277778;2890.000000;47110.000000;0.128880;0.962366
chain-4-1_selfPow-200_dyn-true;25001;58057.222222;11238.416667;46818.805556;5876.750000;1881.750000;19.666667;279.055556;5342.000000;44658.000000;0.224768;0.936376
chain-4-1_selfPow-200_dyn-false;25001;55863.166667;9548.000000;46315.166667;4203.000000;1351.000000;19.000000;290.166667;5326.000000;44674.000000;0.190960;0.926303
chain-5-1_selfPow-250_dyn-true;25001;59204.555556;15314.333333;43890.222222;6126.500000;2731.000000;33.833333;313.222222;9154.000000;40846.000000;0.306287;0.877804
chain-5-1_selfPow-250_dyn-false;25001;56524.777778;13092.611111;43432.166667;4179.000000;2001.000000;31.611111;313.166667;8882.000000;41118.000000;0.261852;0.868643
chain-6-1_selfPow-300_dyn-true;25001;59752.694444;18835.805556;40916.888889;5758.750000;3623.500000;51.055556;319.388889;13026.000000;36974.000000;0.376716;0.818338
chain-6-1_selfPow-300_dyn-false;25001;57037.944444;17208.222222;39829.722222;4033.000000;2633.000000;49.222222;322.722222;13126.000000;36874.000000;0.344164;0.796594
chain-7-1_selfPow-350_dyn-true;25001;59686.027778;22756.277778;36929.750000;5202.000000;4111.250000;64.277778;308.500000;17490.000000;32510.000000;0.455126;0.738595
chain-7-1_selfPow-350_dyn-false;25001;56891.444444;21904.611111;34986.833333;3410.000000;3117.000000;62.611111;301.833333;18432.000000;31568.000000;0.438092;0.699737
chain-8-1_selfPow-400_dyn-true;25001;58393.361111;27287.333333;31106.027778;3834.000000;4230.750000;69.333333;259.277778;23384.000000;26616.000000;0.545747;0.622121
chain-8-1_selfPow-400_dyn-false;25001;56359.388889;26077.833333;30281.555556;2680.000000;3343.000000;73.833333;262.555556;23324.000000;26676.000000;0.521557;0.605631
chain-9-1_selfPow-450_dyn-true;25001;55594.083333;31058.861111;24535.222222;2148.250000;3227.000000;56.611111;162.222222;28854.000000;21146.000000;0.621177;0.490704
chain-9-1_selfPow-450_dyn-false;25001;54250.777778;31794.000000;22456.777778;1473.000000;2553.000000;59.000000;165.777778;30262.000000;19738.000000;0.635880;0.449136
chain-1-2_selfPow-50_dyn-true;25001;52450.111111;2507.833333;49942.277778;2249.500000;112.500000;0.333333;87.777778;258.000000;49742.000000;0.050157;0.998846
chain-1-2_selfPow-50_dyn-false;25002;51655.000000;1714.333333;49940.666667;1494.000000;72.000000;0.333333;86.666667;220.000000;49782.000000;0.034285;0.998773
chain-2-2_selfPow-100_dyn-true;25001;54569.194444;4981.861111;49587.333333;3927.750000;476.000000;2.111111;163.333333;1052.000000;48948.000000;0.099637;0.991747
